y	acc1	acc2	duration	amount	moral	intuse
0	1	0	24	1.51189	1	1
0	0	0	12	.7280797	1	1
0	0	1	18	1.04866	1	1
0	0	1	12	2.39029	1	1
0	0	1	24	1.522627	1	0
0	0	1	24	1.330893	1	1
0	0	1	36	2.395914	1	1
0	0	1	24	1.449512	1	1
0	1	0	21	.8190896	1	0
0	0	1	10	1.456159	1	1
0	0	0	24	1.480701	1	1
0	0	0	10	.6887102	1	1
0	0	0	6	.476524	1	1
0	0	0	10	.777675	1	1
0	1	0	30	4.127148	0	0
0	0	0	36	2.965493	1	1
0	0	1	12	1.573245	1	1
0	0	0	12	.592076	1	1
0	1	0	12	.6590552	1	1
0	0	0	8	.7229667	1	1
0	0	1	15	1.548703	1	1
0	0	1	15	1.824289	1	1
0	0	1	21	1.422414	1	0
0	0	0	30	1.542568	1	1
0	0	1	36	1.574268	1	0
0	0	1	9	1.828891	1	0
0	0	1	27	4.403757	1	1
0	0	0	36	3.552456	1	1
0	0	1	12	.3159784	1	1
0	1	0	11	1.996595	1	0
0	0	0	8	.3885818	1	1
0	1	0	21	1.923991	1	0
0	1	0	8	.5951438	1	0
0	0	0	12	1.148873	1	0
0	0	1	21	.8037509	1	0
0	0	1	24	1.369751	1	1
0	0	0	24	1.4444	1	0
0	0	0	48	3.876615	1	0
0	0	1	10	.7904572	1	0
0	1	0	12	1.866727	1	0
0	0	1	24	1.214318	1	0
0	0	0	30	2.158163	0	0
0	0	1	12	1.090586	1	0
0	0	1	6	3.456845	1	0
0	0	0	10	.5358339	0	1
0	0	1	10	.8165331	1	0
0	1	0	30	2.343251	0	1
0	0	1	12	.3487011	1	0
0	0	1	33	1.413211	1	0
0	0	0	18	2.269625	1	0
0	0	1	15	1.709249	1	1
0	1	0	10	.5307209	1	0
0	0	1	6	.127823	1	0
0	0	1	12	1.803326	1	0
0	0	0	18	1.979722	1	1
0	0	1	15	.4908402	1	1
0	0	1	24	1.931149	1	1
0	0	1	15	.7832991	1	1
0	0	1	6	.4003415	0	0
0	0	1	36	1.17546	1	1
0	0	0	6	.5368565	1	1
0	0	0	9	.7919911	1	0
0	0	0	18	3.770266	1	1
0	1	0	9	.5818502	1	1
0	0	1	24	1.152963	1	0
0	1	0	6	.702515	1	1
0	0	0	6	.1881554	1	1
0	1	0	20	2.184239	1	1
0	0	1	48	3.123993	1	1
0	0	1	12	1.822756	1	1
0	0	1	12	2.966004	1	1
0	0	1	10	.7250119	1	0
0	0	1	9	.7096732	1	1
0	0	1	6	.8896479	1	1
0	0	1	27	2.616281	1	0
0	0	0	18	1.642781	1	1
0	0	0	21	1.494506	1	0
0	0	1	30	1.573245	1	1
0	1	0	36	2.746149	1	1
0	0	1	36	5.356805	1	1
0	0	0	20	3.307036	1	1
0	1	0	6	.9571384	1	1
0	0	1	24	2.066642	1	1
0	1	0	18	.9612287	1	1
0	0	0	42	3.215515	0	0
0	0	1	21	1.615682	1	1
0	0	1	24	2.116237	1	0
0	0	1	24	1.626419	1	1
0	0	1	6	.3579043	1	1
0	1	0	12	1.31811	1	1
0	0	1	24	1.239372	1	1
0	0	1	12	1.250109	1	1
0	0	0	21	1.403496	1	1
0	1	0	36	1.661187	1	0
0	0	1	36	4.629748	1	1
0	1	0	11	2.013979	1	0
0	1	0	6	.3384752	1	0
0	0	0	18	1.558929	1	1
0	0	1	36	2.919988	1	1
0	0	0	36	3.799921	1	0
0	0	0	12	1.023606	1	0
0	0	1	12	1.221988	1	0
0	0	1	12	.3614834	1	1
0	0	1	48	4.529023	1	1
0	1	0	12	.9499803	1	1
0	0	1	5	1.762934	1	0
0	0	0	12	.3195574	1	1
0	1	0	6	2.411252	1	0
0	0	1	24	.9919063	1	0
0	0	0	24	1.916833	1	1
0	0	1	33	3.7084	1	1
0	1	0	6	1.35339	1	1
0	1	0	24	1.269538	0	1
0	1	0	15	.7173425	1	0
0	1	0	18	.9898611	1	1
0	1	0	27	1.746573	1	1
0	0	1	21	1.674481	1	1
0	0	1	24	2.392335	1	1
0	0	1	15	1.135579	1	1
0	0	1	24	1.167791	1	1
0	1	0	9	1.431106	1	0
0	1	0	12	.3584156	1	1
0	0	1	12	.9888385	1	1
0	1	0	24	3.358165	1	0
0	0	1	6	1.077803	1	1
0	0	1	24	1.920924	1	0
0	0	0	18	.6334906	1	1
0	0	1	24	.7510878	1	0
0	1	0	12	.1733279	0	1
0	0	0	12	1.542568	1	1
0	1	0	15	.9433335	1	1
0	0	0	12	1.826846	1	1
0	0	0	6	1.054795	1	1
0	0	0	21	1.867238	1	0
0	1	0	20	1.130978	1	1
0	0	0	11	.8063073	1	1
