"exper" "male" "school" "wage" "region"
9 0 13 6.31529569625854 "Center"
12 0 12 5.47977018356323 "Center"
11 0 11 3.64216995239258 "South"
9 0 14 4.59333658218384 "Center"
8 0 14 2.41815757751465 "Center"
9 0 14 2.0940580368042 "Center"
8 0 12 5.51200389862061 "Center"
10 0 12 3.54842710494995 "Center"
12 0 10 5.81822633743286 "Center"
7 0 12 3.8277804851532 "South"
10 0 14 6.73689365386963 "Center"
10 0 13 12.8613424301147 "South"
10 0 13 7.6555609703064 "North"
9 0 10 2.44977951049805 "Center"
10 0 13 6.10566234588623 "North"
3 0 15 8.26800632476807 "North"
9 0 14 1.86240553855896 "South"
13 0 11 3.98089170455933 "South"
10 0 12 4.76346015930176 "Center"
11 0 12 6.38059568405151 "North"
8 0 14 5.6311240196228 "Center"
7 0 11 2.48805737495422 "South"
7 0 14 1.22373831272125 "North"
5 0 12 1.34565353393555 "North"
5 0 14 0.751111626625061 "Center"
10 0 14 11.3302307128906 "Center"
11 0 12 3.89475774765015 "North"
6 0 13 2.99851536750793 "North"
11 0 12 3.26789617538452 "Center"
9 0 12 1.3551971912384 "Center"
10 0 14 4.28711414337158 "Center"
11 0 12 7.62493896484375 "Center"
11 0 13 4.44378614425659 "South"
5 0 12 1.13428151607513 "North"
5 0 15 9.06418418884277 "North"
12 0 12 3.98089170455933 "Center"
11 0 12 3.4507052898407 "Center"
4 0 14 8.09672927856445 "North"
10 0 13 8.73521423339844 "Center"
9 0 15 7.27584505081177 "South"
12 0 12 5.51200389862061 "Center"
8 0 15 9.78635883331299 "Center"
7 0 14 7.04311609268188 "South"
8 0 11 0.785271763801575 "Center"
9 0 12 4.00872993469238 "South"
10 0 12 3.61215138435364 "Center"
15 0 7 3.18471336364746 "South"
6 0 15 5.81822633743286 "Center"
10 0 12 2.27479529380798 "South"
7 0 16 5.44789266586304 "Center"
9 0 12 2.40355730056763 "South"
8 0 14 9.03356170654297 "South"
10 0 13 4.97409582138062 "South"
7 0 14 9.32761192321777 "Center"
10 0 12 5.87344694137573 "North"
9 0 12 3.28320956230164 "South"
8 0 14 2.14355707168579 "Center"
5 0 13 2.56057357788086 "North"
5 0 14 9.18667316436768 "North"
3 0 12 2.83519101142883 "Center"
10 0 12 5.89761734008789 "North"
7 0 12 2.53329467773438 "South"
8 0 14 8.26800632476807 "Center"
8 0 15 14.1020517349243 "North"
9 0 11 0.72932368516922 "Center"
7 0 11 4.59333658218384 "South"
7 0 12 3.37772631645203 "Center"
10 0 13 3.18471336364746 "South"
13 0 9 5.00741100311279 "Center"
5 0 12 2.31896615028381 "South"
9 0 12 3.38799285888672 "North"
10 0 11 2.44977951049805 "Center"
9 0 13 5.81822633743286 "Center"
10 0 13 5.35889291763306 "South"
7 0 11 7.14328241348267 "Center"
6 0 12 5.59963607788086 "North"
8 0 12 3.8277804851532 "North"
6 0 12 8.07132244110107 "North"
9 0 12 3.94391751289368 "South"
11 0 12 6.34554147720337 "South"
7 0 13 5.48361253738403 "Center"
9 0 13 6.98019361495972 "Center"
9 0 13 10.0470123291016 "North"
11 0 12 5.51200389862061 "South"
8 0 15 6.25568675994873 "South"
11 0 12 3.23447442054749 "Center"
8 0 10 1.91832149028778 "Center"
4 0 14 11.0910415649414 "North"
8 0 14 5.18441724777222 "South"
9 0 14 5.136634349823 "North"
9 0 13 4.24181938171387 "South"
7 0 12 3.90283513069153 "Center"
11 0 12 6.78035736083984 "North"
9 0 12 1.02618539333344 "South"
10 0 12 4.5930643081665 "Center"
11 0 8 0.438681453466415 "South"
9 0 13 7.34933853149414 "Center"
8 0 12 4.59333658218384 "South"
7 0 13 4.72457456588745 "South"
6 0 13 4.81721353530884 "North"
4 0 12 8.53048229217529 "Center"
7 0 14 6.19518709182739 "Center"
10 0 13 4.70468997955322 "Center"
10 0 12 5.08334159851074 "Center"
6 0 12 5.7903881072998 "Center"
7 0 16 5.1037073135376 "South"
7 0 14 6.99083423614502 "North"
9 0 12 4.3162055015564 "Center"
8 0 13 7.71002721786499 "Center"
5 0 12 5.71098375320435 "North"
8 0 12 1.98192977905273 "South"
6 0 12 5.81758689880371 "North"
9 0 13 3.67466926574707 "Center"
7 0 13 2.7560019493103 "North"
5 0 14 4.94814968109131 "Center"
9 0 12 3.98089170455933 "Center"
8 0 13 4.15714502334595 "Center"
10 0 12 4.74445199966431 "Center"
8 0 12 6.61362218856812 "South"
6 0 13 2.73757600784302 "South"
8 0 13 5.24952745437622 "North"
8 0 12 3.98517894744873 "Center"
10 0 12 7.96178340911865 "South"
7 0 13 6.11825609207153 "Center"
8 0 12 3.1429922580719 "South"
7 0 13 6.12444877624512 "Center"
7 0 12 4.86215782165527 "South"
8 0 10 1.80949628353119 "Center"
7 0 12 2.38109421730042 "North"
10 0 12 3.67466926574707 "Center"
9 0 13 6.98402070999146 "South"
9 0 13 12.2488975524902 "Center"
10 0 12 7.34933853149414 "Center"
6 0 12 1.97808289527893 "North"
10 0 12 3.21533560752869 "Center"
6 0 12 4.72782182693481 "North"
7 0 13 8.72967147827148 "South"
10 0 12 6.65462493896484 "South"
8 0 13 4.62670230865479 "Center"
4 0 11 3.06222438812256 "Center"
7 0 13 5.90619564056396 "Center"
9 0 12 4.47959661483765 "Center"
8 0 12 3.36844682693481 "Center"
10 0 12 2.80703902244568 "North"
5 0 14 7.72411823272705 "Center"
7 0 13 3.69456315040588 "North"
7 0 14 6.49882841110229 "South"
8 0 13 2.38919854164124 "South"
6 0 12 4.59333658218384 "Center"
8 0 12 4.59333658218384 "North"
7 0 11 4.08296585083008 "South"
4 0 12 2.45607709884644 "Center"
8 0 13 7.6555609703064 "South"
5 0 14 3.16493248939514 "North"
6 0 13 4.94253778457642 "South"
7 0 12 3.67466926574707 "South"
6 0 10 2.02204012870789 "South"
10 0 12 9.79911804199219 "North"
6 0 13 7.58265066146851 "North"
8 0 13 2.99034118652344 "North"
9 0 12 4.28711414337158 "South"
6 0 11 4.59333658218384 "North"
4 0 12 1.21322417259216 "North"
6 0 12 6.12444877624512 "North"
7 0 14 7.14630842208862 "South"
8 0 11 3.3616418838501 "South"
3 0 12 2.14355707168579 "Center"
6 0 12 1.95982360839844 "North"
1 0 13 4.32211112976074 "North"
8 0 12 0.102890737354755 "Center"
5 0 9 2.54777073860168 "Center"
8 0 12 7.96178340911865 "North"
8 0 12 6.57394981384277 "North"
7 0 11 4.28711414337158 "Center"
4 0 11 3.29384469985962 "North"
6 0 12 6.91077041625977 "Center"
9 0 12 4.44792366027832 "South"
5 0 11 0.77992981672287 "Center"
7 0 12 4.7230920791626 "North"
8 0 12 3.93174481391907 "South"
8 0 10 1.35040855407715 "Center"
6 0 13 3.53857040405273 "Center"
6 0 12 2.87054777145386 "Center"
6 0 11 2.48111391067505 "South"
4 0 12 4.13400316238403 "North"
9 0 12 1.53295469284058 "Center"
8 0 12 2.44977951049805 "South"
6 0 11 4.46134424209595 "South"
3 0 13 4.04291391372681 "North"
7 0 11 3.36844682693481 "North"
7 0 14 5.10872507095337 "North"
8 0 11 7.25998497009277 "Center"
6 0 12 8.26800632476807 "North"
9 0 12 3.21533560752869 "South"
6 0 12 4.91468095779419 "Center"
6 0 12 5.63959646224976 "Center"
9 0 12 4.30366659164429 "Center"
9 0 12 4.59333658218384 "Center"
7 0 12 2.71865773200989 "North"
7 0 12 4.40536737442017 "Center"
10 0 11 2.38287568092346 "North"
7 0 12 7.96178340911865 "South"
4 0 11 4.78904247283936 "South"
8 0 12 9.60969638824463 "South"
6 0 12 0.93120276927948 "South"
8 0 11 2.82011866569519 "Center"
8 0 13 3.51070761680603 "South"
9 0 12 3.98089170455933 "North"
4 0 12 5.51200389862061 "North"
7 0 12 2.94880867004395 "South"
5 0 12 4.59333658218384 "Center"
7 0 10 4.47850322723389 "South"
7 0 12 3.0421142578125 "South"
3 0 12 3.57832956314087 "South"
8 0 12 5.20378017425537 "South"
2 0 12 2.61546516418457 "North"
8 0 12 2.79974794387817 "Center"
3 0 12 6.54865312576294 "South"
6 0 11 4.48551177978516 "South"
9 0 11 2.6211633682251 "North"
9 0 12 7.83405447006226 "South"
8 0 13 6.27843475341797 "South"
8 0 12 4.59333658218384 "Center"
4 0 13 6.43067121505737 "North"
8 0 12 5.24772548675537 "Center"
7 0 12 12.5358915328979 "North"
5 0 12 2.27988433837891 "Center"
5 0 14 7.6555609703064 "Center"
3 0 12 4.89955902099609 "Center"
9 0 11 9.83695220947266 "North"
6 0 12 7.34933853149414 "South"
7 0 11 4.46053266525269 "North"
8 0 8 1.76462268829346 "South"
9 0 11 6.58708715438843 "Center"
9 0 10 3.79132533073425 "Center"
7 0 11 5.81822633743286 "Center"
5 0 11 9.56011486053467 "South"
4 0 10 3.1376485824585 "North"
8 0 11 4.79384851455688 "South"
5 0 10 0.518894255161285 "South"
6 0 10 2.94335794448853 "North"
6 0 11 3.39241218566895 "Center"
4 0 11 6.13720798492432 "South"
4 0 12 4.38541173934937 "Center"
9 0 11 3.67466926574707 "Center"
6 0 12 2.81724643707275 "North"
4 0 11 3.91964721679688 "South"
7 0 11 2.92367124557495 "Center"
8 0 10 6.08842277526855 "North"
3 0 10 1.70954310894012 "North"
8 0 11 9.18667316436768 "Center"
2 0 11 2.52978110313416 "Center"
5 0 12 4.81316900253296 "South"
4 0 11 4.01856565475464 "Center"
9 0 10 3.18670511245728 "Center"
5 0 11 1.56960868835449 "South"
7 0 11 3.06222438812256 "North"
4 0 11 4.89955902099609 "South"
5 0 11 5.15743064880371 "Center"
7 0 10 1.7085372209549 "Center"
5 0 11 5.75625991821289 "North"
5 0 11 5.74136447906494 "North"
7 0 11 9.90799713134766 "Center"
3 0 10 2.37001919746399 "South"
8 0 11 4.77707004547119 "Center"
8 0 11 3.36844682693481 "South"
7 0 12 7.96178340911865 "North"
4 0 11 3.00097990036011 "Center"
6 0 11 4.83447933197021 "South"
8 0 10 5.0526704788208 "North"
4 0 12 6.43067121505737 "South"
6 0 11 0.76555609703064 "Center"
5 0 11 5.20026969909668 "Center"
5 0 10 3.48056101799011 "North"
4 0 11 0.929548323154449 "South"
8 0 10 1.87616443634033 "Center"
4 0 12 4.28711414337158 "South"
7 0 13 3.75555825233459 "North"
6 0 11 3.67466926574707 "North"
7 0 11 15.9235668182373 "North"
5 0 12 5.40825653076172 "North"
5 0 12 5.136634349823 "Center"
2 0 11 1.71221148967743 "South"
4 0 10 4.46076154708862 "South"
9 0 10 2.90132784843445 "South"
9 0 10 6.04452466964722 "North"
9 0 10 8.26800632476807 "Center"
7 0 11 6.2856183052063 "North"
8 0 12 5.66511535644531 "North"
7 0 10 5.66511535644531 "Center"
3 0 12 3.18471336364746 "Center"
4 0 11 5.86143589019775 "South"
8 0 11 6.51187419891357 "Center"
7 0 11 1.77775073051453 "North"
9 0 10 6.82438564300537 "South"
8 0 11 4.24628448486328 "North"
5 0 11 5.3895149230957 "Center"
5 0 8 2.97850894927979 "North"
6 0 10 1.63318634033203 "Center"
5 0 10 2.7560019493103 "North"
7 0 11 3.97090935707092 "Center"
8 0 10 6.26054763793945 "North"
6 0 10 3.25709319114685 "Center"
4 0 10 3.15513396263123 "Center"
7 0 10 6.12444877624512 "South"
7 0 10 3.69389176368713 "South"
8 0 10 3.11548042297363 "Center"
9 0 10 0.918667316436768 "Center"
6 0 12 12.2488975524902 "South"
8 0 10 1.72847402095795 "North"
5 0 11 5.5872163772583 "South"
5 0 10 4.44378614425659 "North"
3 0 9 3.27294039726257 "Center"
7 0 9 3.67466926574707 "Center"
9 0 14 5.1445369720459 "Center"
8 0 15 5.20864343643188 "North"
11 0 12 6.451247215271 "North"
12 0 12 4.59333658218384 "North"
11 0 12 3.89646816253662 "North"
6 0 14 5.01793050765991 "North"
10 0 14 5.75698184967041 "Center"
11 0 11 0.424628436565399 "Center"
9 0 15 5.09064197540283 "Center"
9 0 14 5.86743497848511 "North"
11 0 12 4.60837078094482 "South"
12 0 11 4.28711414337158 "South"
9 0 10 4.4729118347168 "North"
11 0 12 7.12370109558105 "South"
7 0 15 8.5495662689209 "North"
8 0 15 10.4115629196167 "North"
6 0 14 3.03306031227112 "Center"
3 0 14 5.97133779525757 "North"
13 0 11 5.44395446777344 "South"
7 0 14 2.25688338279724 "Center"
9 0 13 5.66171264648438 "North"
10 0 10 2.54777073860168 "North"
11 0 12 5.90217161178589 "Center"
12 0 12 2.87849092483521 "Center"
11 0 12 3.71034574508667 "North"
9 0 13 7.64713573455811 "South"
10 0 13 4.48972749710083 "North"
9 0 12 4.21943378448486 "North"
9 0 14 6.12444877624512 "South"
4 0 14 3.98089170455933 "Center"
13 0 11 5.11963367462158 "Center"
8 0 12 3.38682007789612 "South"
8 0 13 1.65439653396606 "North"
