"good" "purpose" "fico" "loan_amnt" "income"
"good" "debt_consolidation" 737 5000 24000
"bad" "major_purchase" 742 2500 30000
"good" "small_business" 737 2400 NA
"good" "other" 692 10000 49200
"good" "other" 697 3000 80000
"good" "vacation_wedding" 732 5000 36000
"good" "debt_consolidation" 692 7000 NA
"good" "major_purchase" 662 3000 48000
"bad" "small_business" 677 5600 40000
"bad" "other" 727 5375 15000
"good" "debt_consolidation" 697 6500 NA
"good" "debt_consolidation" 677 12000 75000
"bad" "debt_consolidation" 712 9000 30000
"good" "debt_consolidation" 707 3000 15000
"bad" "other" 722 10000 1e+05
"good" "debt_consolidation" 667 1000 NA
"good" "home_improvement" 672 10000 NA
"good" "major_purchase" 762 3600 NA
"good" "medical" 687 6000 84000
"good" "debt_consolidation" 757 9200 NA
"good" "debt_consolidation" 727 20250 43370
"bad" "debt_consolidation" 707 21000 105000
"good" "debt_consolidation" 692 10000 50000
"good" "debt_consolidation" 712 10000 NA
"bad" "major_purchase" 692 6000 NA
"good" "debt_consolidation" 732 15000 92000
"bad" "debt_consolidation" 697 15000 NA
"bad" "other" 677 5000 NA
"good" "debt_consolidation" 682 4000 NA
"good" "debt_consolidation" 697 8500 25000
"good" "debt_consolidation" 737 4375 17108
"good" "debt_consolidation" 762 31825 75000
"good" "debt_consolidation" 692 10000 29120
"good" "debt_consolidation" 702 5000 24044
"good" "debt_consolidation" 677 7000 34000
"good" "debt_consolidation" 722 12400 NA
"good" "other" 707 10800 55596
"good" "debt_consolidation" 732 15000 45000
"good" "debt_consolidation" 697 6000 36852
"good" "debt_consolidation" 737 12500 27000
"good" "other" 762 9600 68004
"good" "debt_consolidation" 727 12000 NA
"good" "other" 672 3000 NA
"good" "debt_consolidation" 692 4400 NA
"good" "debt_consolidation" 792 6000 NA
"good" "small_business" 727 14000 NA
"bad" "debt_consolidation" 707 5000 1e+05
"good" "other" 702 10000 27000
"good" "debt_consolidation" 792 10000 NA
"good" "debt_consolidation" 752 11000 NA
"bad" "debt_consolidation" 732 15000 NA
"good" "debt_consolidation" 727 25600 110000
"good" "debt_consolidation" 702 7000 NA
"bad" "major_purchase" 677 12000 NA
"good" "debt_consolidation" 732 12000 NA
"bad" "debt_consolidation" 682 21000 50000
"good" "debt_consolidation" 667 16000 81000
"good" "debt_consolidation" 687 10000 NA
"good" "debt_consolidation" 717 10000 NA
"good" "debt_consolidation" 682 7100 33000
"good" "debt_consolidation" 732 13000 30000
"good" "small_business" 707 17500 40000
"good" "debt_consolidation" 722 17675 50000
"good" "debt_consolidation" 662 8000 NA
"good" "debt_consolidation" 757 10000 45996
"good" "debt_consolidation" 702 3500 NA
"bad" "debt_consolidation" 692 12500 30000
"good" "debt_consolidation" 697 16425 44544
"bad" "small_business" 677 8200 75000
"good" "debt_consolidation" 687 15000 61000
"good" "debt_consolidation" 687 20975 44000
"bad" "debt_consolidation" 662 6400 NA
"good" "debt_consolidation" 672 3000 NA
"good" "debt_consolidation" 677 12000 NA
"good" "debt_consolidation" 722 14400 150000
"good" "debt_consolidation" 677 12000 NA
"good" "debt_consolidation" 692 11000 48000
"good" "debt_consolidation" 682 7250 75000
"good" "small_business" 767 15000 NA
"good" "debt_consolidation" 662 18000 NA
"good" "home_improvement" 727 35000 150000
"good" "debt_consolidation" 682 10000 68000
"good" "debt_consolidation" 692 11800 42000
"good" "major_purchase" 762 4500 53000
"good" "debt_consolidation" 682 7000 35000
"good" "debt_consolidation" 702 9200 60000
"good" "other" 702 14000 28000
"good" "major_purchase" 752 4500 42000
"good" "debt_consolidation" 682 12000 88365
"good" "debt_consolidation" 687 12000 72000
"good" "debt_consolidation" 702 12000 62000
"good" "debt_consolidation" 687 7000 NA
"good" "debt_consolidation" 687 8200 120000
"good" "medical" 697 10500 66000
"good" "debt_consolidation" 677 7000 NA
"good" "debt_consolidation" 672 15300 85000
"good" "debt_consolidation" 742 20000 47800
"bad" "debt_consolidation" 702 17500 NA
"good" "major_purchase" 747 3500 83000
"good" "major_purchase" 697 6000 81000
"bad" "debt_consolidation" 712 6200 NA
"good" "debt_consolidation" 697 16000 NA
"good" "debt_consolidation" 702 6000 NA
"good" "debt_consolidation" 697 7200 NA
"good" "debt_consolidation" 722 9500 NA
"bad" "debt_consolidation" 702 18825 38000
"good" "debt_consolidation" 727 24000 45000
"good" "debt_consolidation" 667 6000 NA
"good" "debt_consolidation" 692 6000 NA
"good" "vacation_wedding" 692 2100 NA
"good" "small_business" 742 5500 110000
"good" "debt_consolidation" 737 11000 45608
"good" "debt_consolidation" 682 26800 120000
"good" "debt_consolidation" 707 8000 NA
"bad" "debt_consolidation" 667 10000 75000
"good" "debt_consolidation" 692 8000 35000
"good" "debt_consolidation" 712 10000 24000
"good" "debt_consolidation" 697 12000 NA
"good" "debt_consolidation" 732 10000 NA
"good" "debt_consolidation" 727 12000 NA
"bad" "debt_consolidation" 742 25000 67000
"bad" "debt_consolidation" 722 19750 45000
"good" "debt_consolidation" 712 10000 31200
"good" "debt_consolidation" 677 13650 66000
"bad" "debt_consolidation" 687 28000 52000
"good" "debt_consolidation" 722 18000 56964
"good" "debt_consolidation" 672 2500 49500
"good" "debt_consolidation" 672 21000 70000
"good" "debt_consolidation" 742 35000 125000
"good" "debt_consolidation" 747 10000 NA
"good" "debt_consolidation" 677 7000 30000
"bad" "home_improvement" 717 24000 90000
"good" "medical" 732 10625 NA
"good" "debt_consolidation" 672 5000 24000
"good" "debt_consolidation" 737 8850 62000
"good" "debt_consolidation" 732 6375 44000
"good" "debt_consolidation" 682 6000 NA
"bad" "debt_consolidation" 757 11100 41000
"good" "debt_consolidation" 737 10000 56000
"good" "small_business" 772 6200 NA
"good" "debt_consolidation" 662 15000 NA
"good" "other" 682 4200 NA
"good" "debt_consolidation" 682 14000 NA
"good" "debt_consolidation" 742 8875 NA
"good" "debt_consolidation" 747 13500 38000
"bad" "debt_consolidation" 727 12000 NA
"good" "debt_consolidation" 667 16000 55000
"good" "debt_consolidation" 677 21600 60000
"good" "home_improvement" 692 6000 NA
"good" "debt_consolidation" 692 8450 25000
"good" "debt_consolidation" 717 20000 NA
"bad" "debt_consolidation" 697 10000 NA
"good" "debt_consolidation" 687 12000 80000
"bad" "debt_consolidation" 732 13475 25000
"good" "major_purchase" 687 7200 NA
"bad" "debt_consolidation" 677 5600 NA
"good" "debt_consolidation" 682 12000 57000
"good" "debt_consolidation" 762 8500 NA
"good" "debt_consolidation" 712 8000 34000
"good" "debt_consolidation" 692 8000 NA
"bad" "debt_consolidation" 737 16000 42656.4
"good" "home_improvement" 672 15000 44400
"good" "debt_consolidation" 732 10000 NA
"good" "debt_consolidation" 742 10000 NA
"good" "major_purchase" 677 8000 NA
"good" "debt_consolidation" 742 22000 50000
"good" "major_purchase" 697 6000 94800
"good" "debt_consolidation" 782 16000 40000
"bad" "debt_consolidation" 732 2500 12000
"good" "debt_consolidation" 727 13500 36000
"good" "debt_consolidation" 712 25000 225000
"good" "small_business" 692 10000 45900
"good" "debt_consolidation" 687 2500 NA
"good" "debt_consolidation" 682 7325 NA
"good" "debt_consolidation" 697 4000 135000
"bad" "small_business" 692 10000 NA
"bad" "debt_consolidation" 667 7750 NA
"bad" "debt_consolidation" 667 20000 70000
"good" "debt_consolidation" 687 9600 65000
"bad" "debt_consolidation" 737 21000 NA
"good" "debt_consolidation" 702 14000 30000
"good" "debt_consolidation" 707 13350 NA
"bad" "debt_consolidation" 667 15000 42000
"bad" "debt_consolidation" 667 15000 75000
"good" "debt_consolidation" 722 11000 129000
"good" "debt_consolidation" 762 35000 168000
"good" "debt_consolidation" 707 9000 74000
"good" "debt_consolidation" 717 22475 52000
"bad" "debt_consolidation" 697 16000 58500
"good" "debt_consolidation" 712 13500 71000
"good" "debt_consolidation" 702 24000 75000
"good" "debt_consolidation" 717 12000 NA
"good" "major_purchase" 687 8400 NA
"good" "home_improvement" 717 28000 140000
"good" "debt_consolidation" 752 14000 66000
"bad" "other" 692 12000 NA
"good" "debt_consolidation" 737 25000 1e+05
"good" "debt_consolidation" 697 9000 50000
"good" "debt_consolidation" 722 13250 NA
"good" "debt_consolidation" 717 20000 75000
"good" "medical" 682 3000 71000
"good" "debt_consolidation" 697 7350 NA
"good" "debt_consolidation" 672 11500 NA
"bad" "debt_consolidation" 702 13650 NA
"bad" "debt_consolidation" 682 10500 30000
"good" "debt_consolidation" 717 12000 NA
"good" "debt_consolidation" 717 6000 NA
"good" "debt_consolidation" 687 11500 44200
"good" "debt_consolidation" 692 7000 NA
"good" "debt_consolidation" 692 29500 83000
"good" "other" 682 2000 41000
"good" "debt_consolidation" 692 11625 36000
"bad" "debt_consolidation" 702 15075 35000
"good" "debt_consolidation" 662 5300 30000
"good" "home_improvement" 752 8200 40000
"good" "debt_consolidation" 702 12000 NA
"good" "debt_consolidation" 682 8650 45000
"good" "debt_consolidation" 697 21000 109000
"good" "debt_consolidation" 697 16000 50000
"good" "debt_consolidation" 702 12000 NA
"bad" "other" 697 9500 52500
"good" "debt_consolidation" 692 7400 25000
"good" "debt_consolidation" 692 14400 NA
"good" "debt_consolidation" 672 24250 120000
"bad" "debt_consolidation" 722 7200 68000
"bad" "home_improvement" 732 26000 53000
"bad" "debt_consolidation" 732 7000 69600
"good" "major_purchase" 722 4000 65000
"good" "debt_consolidation" 667 1500 144000
"good" "debt_consolidation" 697 19600 75000
"good" "debt_consolidation" 687 2500 29000
"bad" "debt_consolidation" 687 10000 NA
"good" "debt_consolidation" 742 10000 NA
"good" "other" 692 4225 NA
"good" "vacation_wedding" 717 3500 NA
"good" "debt_consolidation" 737 12000 NA
"good" "debt_consolidation" 747 16500 47000
"good" "debt_consolidation" 667 22000 55000
"good" "debt_consolidation" 677 12000 71000
"good" "vacation_wedding" 742 15600 50000
"good" "debt_consolidation" 677 10800 135000
"good" "debt_consolidation" 717 14000 NA
"good" "debt_consolidation" 702 18825 44000
"good" "debt_consolidation" 677 6000 NA
"good" "debt_consolidation" 707 12000 NA
"good" "debt_consolidation" 682 10000 NA
